tas;pr;Year;Month;Country
1.96318;37.2661;1991;1;DEU
-1.6809;22.4209;1991;2;DEU
7.32229;31.5152;1991;3;DEU
7.57161;33.0151;1991;4;DEU
10.0722;44.6224;1991;5;DEU
13.9218;109.232;1991;6;DEU
19.6432;57.2709;1991;7;DEU
18.6568;46.7002;1991;8;DEU
15.7292;49.3299;1991;9;DEU
8.66857;31.5855;1991;10;DEU
4.35209;68.3662;1991;11;DEU
1.13781;65.1587;1991;12;DEU
0.96594;32.388;1992;1;DEU
3.02409;35.7886;1992;2;DEU
5.68544;84.5245;1992;3;DEU
8.62675;52.9984;1992;4;DEU
15.0011;29.8259;1992;5;DEU
17.421;67.0675;1992;6;DEU
19.1176;82.9984;1992;7;DEU
19.56;84.1925;1992;8;DEU
14.1997;37.4143;1992;9;DEU
6.80679;69.9493;1992;10;DEU
5.60251;94.5292;1992;11;DEU
1.3996;49.5743;1992;12;DEU
2.40357;71.4716;1993;1;DEU
0.00333;26.4425;1993;2;DEU
4.57159;17.887;1993;3;DEU
10.6612;36.1154;1993;4;DEU
14.7693;63.6253;1993;5;DEU
16.1237;72.5617;1993;6;DEU
16.5336;126.813;1993;7;DEU
16.2893;59.0249;1993;8;DEU
12.6361;85.906;1993;9;DEU
8.17951;67.1057;1993;10;DEU
0.74878;30.4555;1993;11;DEU
3.11583;118.31;1993;12;DEU
3.25906;73.8074;1994;1;DEU
0.36829;26.8628;1994;2;DEU
6.6699;82.0528;1994;3;DEU
8.71049;74.5891;1994;4;DEU
12.7059;68.5048;1994;5;DEU
16.3011;65.0938;1994;6;DEU
21.7445;54.584;1994;7;DEU
18.5173;90.227;1994;8;DEU
13.8828;76.8859;1994;9;DEU
8.12692;47.2555;1994;10;DEU
7.33281;48.1837;1994;11;DEU
3.59386;70.2163;1994;12;DEU
0.61905;91.0824;1995;1;DEU
5.09206;64.3742;1995;2;DEU
3.92955;70.8116;1995;3;DEU
8.68313;48.7567;1995;4;DEU
12.463;72.9682;1995;5;DEU
14.738;82.4929;1995;6;DEU
20.5315;68.1534;1995;7;DEU
18.777;77.0093;1995;8;DEU
13.2353;80.871;1995;9;DEU
12.3742;22.3478;1995;10;DEU
3.49484;47.4954;1995;11;DEU
-1.3791;41.4347;1995;12;DEU
-2.4147;5.06111;1996;1;DEU
-1.6982;39.339;1996;2;DEU
1.25059;20.3115;1996;3;DEU
8.87259;21.9546;1996;4;DEU
11.1675;85.928;1996;5;DEU
15.6968;53.6882;1996;6;DEU
16.3067;78.5637;1996;7;DEU
17.5761;80.0962;1996;8;DEU
11.545;41.5761;1996;9;DEU
9.54582;69.0624;1996;10;DEU
4.81919;70.8388;1996;11;DEU
-1.8692;35.0766;1996;12;DEU
-2.4516;9.77542;1997;1;DEU
4.24402;67.7766;1997;2;DEU
6.60172;42.6296;1997;3;DEU
6.77604;41.2524;1997;4;DEU
12.7521;61.0386;1997;5;DEU
16.1819;87.0538;1997;6;DEU
17.5787;99.3591;1997;7;DEU
20.3683;45.054;1997;8;DEU
14.7543;28.2634;1997;9;DEU
8.28178;54.6171;1997;10;DEU
4.3859;37.353;1997;11;DEU
2.20162;66.4385;1997;12;DEU
2.82266;52.7454;1998;1;DEU
5.13231;20.2031;1998;2;DEU
5.72051;56.9272;1998;3;DEU
9.16443;71.2588;1998;4;DEU
14.4651;41.5037;1998;5;DEU
16.6004;92.8293;1998;6;DEU
16.635;75.8758;1998;7;DEU
17.2254;60.9335;1998;8;DEU
14.0119;93.2512;1998;9;DEU
9.09046;133.019;1998;10;DEU
1.87924;59.9116;1998;11;DEU
1.39982;44.2121;1998;12;DEU
2.69926;55.5056;1999;1;DEU
0.97467;61.2978;1999;2;DEU
5.81345;56.5648;1999;3;DEU
9.25519;54.7828;1999;4;DEU
13.8266;72.3148;1999;5;DEU
15.6576;76.2048;1999;6;DEU
19.4417;69.579;1999;7;DEU
17.6383;71.6999;1999;8;DEU
17.3007;50.0867;1999;9;DEU
9.41301;40.8223;1999;10;DEU
3.96911;46.2156;1999;11;DEU
2.21168;100.523;1999;12;DEU
1.10166;44.092;2000;1;DEU
3.99163;67.5469;2000;2;DEU
5.89024;79.2073;2000;3;DEU
10.5356;37.8503;2000;4;DEU
14.8181;64.3155;2000;5;DEU
17.2848;54.1672;2000;6;DEU
15.6626;100.574;2000;7;DEU
18.0981;67.8183;2000;8;DEU
14.6411;72.8817;2000;9;DEU
11.1252;56.0824;2000;10;DEU
6.6194;51.0663;2000;11;DEU
3.60372;42.39;2000;12;DEU
0.89059;50.6998;2001;1;DEU
2.38944;46.7744;2001;2;DEU
4.8538;91.2438;2001;3;DEU
7.76703;68.0754;2001;4;DEU
14.6977;40.9013;2001;5;DEU
14.3756;83.3405;2001;6;DEU
18.9581;71.4917;2001;7;DEU
18.999;66.1603;2001;8;DEU
12.1513;109.926;2001;9;DEU
13.0826;43.9049;2001;10;DEU
3.99286;70.6187;2001;11;DEU
0.03294;59.702;2001;12;DEU
1.72286;38.9526;2002;1;DEU
5.11861;87.347;2002;2;DEU
6.29248;53.8361;2002;3;DEU
8.6084;47.6672;2002;4;DEU
14.1608;76.3439;2002;5;DEU
17.6556;77.6167;2002;6;DEU
17.8886;106.106;2002;7;DEU
19.1396;105.818;2002;8;DEU
